       ROUND ROBIN (q= 2)
Tiempo 424 - 426; P88
Tiempo 426 - 428; P29
Tiempo 428 - 430; P89
Tiempo 430 - 432; P90
Tiempo 432 - 434; P30
Tiempo 434 - 436; P92
Tiempo 436 - 438; P53
Tiempo 438 - 440; P93
Tiempo 440 - 442; P54
Tiempo 442 - 444; P94
Tiempo 444 - 446; P95
Tiempo 446 - 448; P55
Tiempo 448 - 450; P97
Tiempo 450 - 452; P98
Tiempo 452 - 454; P99
Tiempo 454 - 456; P100
Tiempo 456 - 458; P58
Tiempo 458 - 460; P20
Tiempo 460 - 462; P59
Tiempo 462 - 464; P34
Tiempo 464 - 466; P60
Tiempo 466 - 468; P35
Tiempo 468 - 470; P63
Tiempo 470 - 472; P64
Tiempo 472 - 474; P65
Tiempo 474 - 476; P39
Tiempo 476 - 478; P68
Tiempo 478 - 480; P40
Tiempo 480 - 482; P69
Tiempo 482 - 484; P70
Tiempo 484 - 486; P73
Tiempo 486 - 488; P74
Tiempo 488 - 490; P75
Tiempo 490 - 492; P25
Tiempo 492 - 494; P44
Tiempo 494 - 496; P78
Tiempo 496 - 498; P45
Tiempo 498 - 500; P79
Tiempo 500 - 502; P80
Tiempo 502 - 504; P83
Tiempo 504 - 506; P84
Tiempo 506 - 508; P85
Tiempo 508 - 510; P49
Tiempo 510 - 512; P50
Tiempo 512 - 514; P88
Tiempo 514 - 516; P89
Tiempo 516 - 518; P90
Tiempo 518 - 520; P30
Tiempo 520 - 522; P93
Tiempo 522 - 524; P54
Tiempo 524 - 526; P94
Tiempo 526 - 528; P95
Tiempo 528 - 530; P55
Tiempo 530 - 532; P98
Tiempo 532 - 534; P99
Tiempo 534 - 536; P100
Tiempo 536 - 538; P59
Tiempo 538 - 540; P60
Tiempo 540 - 542; P35
Tiempo 542 - 544; P64
Tiempo 544 - 546; P65
Tiempo 546 - 548; P40
Tiempo 548 - 550; P69
Tiempo 550 - 552; P70
Tiempo 552 - 554; P74
Tiempo 554 - 556; P75
Tiempo 556 - 558; P45
Tiempo 558 - 560; P79
Tiempo 560 - 562; P80
Tiempo 562 - 564; P84
Tiempo 564 - 566; P85
Tiempo 566 - 568; P50
Tiempo 568 - 570; P89
Tiempo 570 - 572; P90
Tiempo 572 - 574; P94
Tiempo 574 - 576; P95
Tiempo 576 - 578; P55
Tiempo 578 - 580; P99
Tiempo 580 - 582; P100
Tiempo 582 - 584; P60
Tiempo 584 - 586; P65
Tiempo 586 - 588; P70
Tiempo 588 - 590; P75
Tiempo 590 - 592; P80
Tiempo 592 - 594; P85
Tiempo 594 - 596; P90
Tiempo 596 - 598; P95
Tiempo 598 - 600; P100
Mostramos resultados: 
Proceso   Llegada   Burst  Inicio   Fin   Espera   Retorno   Respuesta
P1       0        2      0       2    0       2        0        
P2       2        4      2       8    2       6        0        
P3       4        6      4       22   12      18       0        
P4       6        8      8       58   44      52       2        
P5       8        10     12      144  126     136      4        
P6       10       2      14      16   4       6        4        
P7       12       4      18      36   20      24       6        
P8       14       6      22      74   54      60       8        
P9       16       8      26      158  134     142      10       
P10      18       10     28      298  270     280      10       
P11      20       2      32      34   12      14       12       
P12      22       4      36      66   40      44       14       
P13      24       6      38      122  92      98       14       
P14      26       8      42      240  206     214      16       
P15      28       10     46      400  362     372      18       
P16      30       2      50      52   20      22       20       
P17      32       4      54      100  64      68       22       
P18      34       6      58      186  146     152      24       
P19      36       8      60      338  294     302      24       
P20      38       10     62      460  412     422      24       
P21      40       2      66      68   26      28       26       
P22      42       4      70      126  80      84       28       
P23      44       6      74      232  182     188      30       
P24      46       8      78      382  328     336      32       
P25      48       10     82      492  434     444      34       
P26      50       2      86      88   36      38       36       
P27      52       4      90      162  106     110      38       
P28      54       6      92      290  230     236      38       
P29      56       8      96      428  364     372      40       
P30      58       10     100     520  452     462      42       
P31      60       2      102     104  42      44       42       
P32      62       4      106     190  124     128      44       
P33      64       6      110     346  276     282      46       
P34      66       8      114     464  390     398      48       
P35      68       10     116     542  464     474      48       
P36      70       2      118     120  48      50       48       
P37      72       4      122     218  142     146      50       
P38      74       6      126     368  288     294      52       
P39      76       8      128     476  392     400      52       
P40      78       10     132     548  460     470      54       
P41      80       2      136     138  56      58       56       
P42      82       4      140     250  164     168      58       
P43      84       6      144     390  300     306      60       
P44      86       8      148     494  400     408      62       
P45      88       10     152     558  460     470      64       
P46      90       2      154     156  64      66       64       
P47      92       4      158     280  184     188      66       
P48      94       6      162     414  314     320      68       
P49      96       8      166     510  406     414      70       
P50      98       10     170     568  460     470      72       
P51      100      2      174     176  74      76       74       
P52      102      4      176     312  206     210      74       
P53      104      6      180     438  328     334      76       
P54      106      8      182     524  410     418      76       
P55      108      10     186     578  460     470      78       
P56      110      2      190     192  80      82       80       
P57      112      4      194     342  226     230      82       
P58      114      6      198     458  338     344      84       
P59      116      8      202     538  414     422      86       
P60      118      10     206     584  456     466      88       
P61      120      2      210     212  90      92       90       
P62      122      4      212     360  234     238      90       
P63      124      6      214     470  340     346      90       
P64      126      8      218     544  410     418      92       
P65      128      10     220     586  448     458      92       
P66      130      2      224     226  94      96       94       
P67      132      4      228     372  236     240      96       
P68      134      6      232     478  338     344      98       
P69      136      8      236     550  406     414      100      
P70      138      10     240     588  440     450      102      
P71      140      2      242     244  102     104      102      
P72      142      4      246     384  238     242      104      
P73      144      6      250     486  336     342      106      
P74      146      8      252     554  400     408      106      
P75      148      10     256     590  432     442      108      
P76      150      2      260     262  110     112      110      
P77      152      4      264     398  242     246      112      
P78      154      6      268     496  336     342      114      
P79      156      8      272     560  396     404      116      
P80      158      10     274     592  424     434      116      
P81      160      2      276     278  116     118      116      
P82      162      4      280     410  244     248      118      
