       ROUND ROBIN (q= 4)
Tiempo 0 - 2; P1
Tiempo 2 - 6; P2
Tiempo 6 - 10; P3
Tiempo 10 - 14; P4
Tiempo 14 - 18; P5
Tiempo 18 - 20; P6
Tiempo 20 - 22; P3
Tiempo 22 - 26; P7
Tiempo 26 - 30; P8
Tiempo 30 - 34; P4
Tiempo 34 - 38; P9
Tiempo 38 - 42; P10
Tiempo 42 - 46; P5
Tiempo 46 - 48; P11
Tiempo 48 - 52; P12
Tiempo 52 - 56; P13
Tiempo 56 - 60; P14
Tiempo 60 - 64; P15
Tiempo 64 - 66; P16
Tiempo 66 - 68; P8
Tiempo 68 - 72; P17
Tiempo 72 - 76; P18
Tiempo 76 - 80; P19
Tiempo 80 - 84; P20
Tiempo 84 - 88; P9
Tiempo 88 - 90; P21
Tiempo 90 - 94; P22
Tiempo 94 - 98; P10
Tiempo 98 - 102; P23
Tiempo 102 - 106; P24
Tiempo 106 - 108; P5
Tiempo 108 - 112; P25
Tiempo 112 - 114; P26
Tiempo 114 - 118; P27
Tiempo 118 - 122; P28
Tiempo 122 - 126; P29
Tiempo 126 - 128; P13
Tiempo 128 - 132; P30
Tiempo 132 - 134; P31
Tiempo 134 - 138; P14
Tiempo 138 - 142; P32
Tiempo 142 - 146; P33
Tiempo 146 - 150; P15
Tiempo 150 - 154; P34
Tiempo 154 - 158; P35
Tiempo 158 - 160; P36
Tiempo 160 - 164; P37
Tiempo 164 - 168; P38
Tiempo 168 - 172; P39
Tiempo 172 - 174; P18
Tiempo 174 - 178; P40
Tiempo 178 - 180; P41
Tiempo 180 - 184; P19
Tiempo 184 - 188; P42
Tiempo 188 - 192; P43
Tiempo 192 - 196; P20
Tiempo 196 - 200; P44
Tiempo 200 - 204; P45
Tiempo 204 - 206; P46
Tiempo 206 - 210; P47
Tiempo 210 - 214; P48
Tiempo 214 - 218; P49
Tiempo 218 - 222; P50
Tiempo 222 - 224; P10
Tiempo 224 - 226; P51
Tiempo 226 - 230; P52
Tiempo 230 - 232; P23
Tiempo 232 - 236; P53
Tiempo 236 - 240; P54
Tiempo 240 - 244; P24
Tiempo 244 - 248; P55
Tiempo 248 - 250; P56
Tiempo 250 - 254; P57
Tiempo 254 - 258; P25
Tiempo 258 - 262; P58
Tiempo 262 - 266; P59
Tiempo 266 - 270; P60
Tiempo 270 - 272; P61
Tiempo 272 - 276; P62
Tiempo 276 - 278; P28
Tiempo 278 - 282; P63
Tiempo 282 - 286; P64
Tiempo 286 - 290; P29
Tiempo 290 - 294; P65
Tiempo 294 - 296; P66
Tiempo 296 - 300; P67
Tiempo 300 - 304; P30
Tiempo 304 - 308; P68
Tiempo 308 - 312; P69
Tiempo 312 - 316; P70
Tiempo 316 - 318; P71
Tiempo 318 - 322; P72
Tiempo 322 - 326; P73
Tiempo 326 - 330; P74
Tiempo 330 - 332; P33
Tiempo 332 - 336; P75
Tiempo 336 - 338; P76
Tiempo 338 - 340; P15
Tiempo 340 - 344; P77
Tiempo 344 - 348; P78
Tiempo 348 - 352; P34
Tiempo 352 - 356; P79
Tiempo 356 - 360; P80
Tiempo 360 - 364; P35
Tiempo 364 - 366; P81
Tiempo 366 - 370; P82
Tiempo 370 - 374; P83
Tiempo 374 - 378; P84
Tiempo 378 - 382; P85
Tiempo 382 - 384; P38
Tiempo 384 - 386; P86
Tiempo 386 - 390; P87
Tiempo 390 - 394; P39
Tiempo 394 - 398; P88
Tiempo 398 - 402; P89
Tiempo 402 - 406; P90
Tiempo 406 - 410; P40
Tiempo 410 - 412; P91
Tiempo 412 - 416; P92
Tiempo 416 - 420; P93
Tiempo 420 - 424; P94
Tiempo 424 - 428; P95
Tiempo 428 - 430; P96
Tiempo 430 - 434; P97
Tiempo 434 - 436; P43
Tiempo 436 - 440; P98
Tiempo 440 - 444; P99
Tiempo 444 - 446; P20
Tiempo 446 - 450; P100
Tiempo 450 - 454; P44
Tiempo 454 - 458; P45
Tiempo 458 - 460; P48
Tiempo 460 - 464; P49
Tiempo 464 - 468; P50
Tiempo 468 - 470; P53
Tiempo 470 - 474; P54
Tiempo 474 - 478; P55
Tiempo 478 - 480; P25
Tiempo 480 - 482; P58
Tiempo 482 - 486; P59
Tiempo 486 - 490; P60
Tiempo 490 - 492; P63
Tiempo 492 - 496; P64
Tiempo 496 - 500; P65
Tiempo 500 - 502; P30
Tiempo 502 - 504; P68
Tiempo 504 - 508; P69
Tiempo 508 - 512; P70
Tiempo 512 - 514; P73
Tiempo 514 - 518; P74
Tiempo 518 - 522; P75
Tiempo 522 - 524; P78
Tiempo 524 - 528; P79
Tiempo 528 - 532; P80
Tiempo 532 - 534; P35
Tiempo 534 - 536; P83
Tiempo 536 - 540; P84
Tiempo 540 - 544; P85
Tiempo 544 - 546; P88
Tiempo 546 - 550; P89
Tiempo 550 - 554; P90
Tiempo 554 - 556; P40
Tiempo 556 - 558; P93
Tiempo 558 - 562; P94
Tiempo 562 - 566; P95
Tiempo 566 - 568; P98
Tiempo 568 - 572; P99
Tiempo 572 - 576; P100
Tiempo 576 - 578; P45
Tiempo 578 - 580; P50
Tiempo 580 - 582; P55
Tiempo 582 - 584; P60
Tiempo 584 - 586; P65
Tiempo 586 - 588; P70
Tiempo 588 - 590; P75
Tiempo 590 - 592; P80
Tiempo 592 - 594; P85
Tiempo 594 - 596; P90
Tiempo 596 - 598; P95
Tiempo 598 - 600; P100
Mostramos resultados: 
Proceso   Llegada   Burst  Inicio   Fin   Espera   Retorno   Respuesta
P1       0        2      0       2    0       2        0        
P2       2        4      2       6    0       4        0        
P3       4        6      6       22   12      18       2        
P4       6        8      10      34   20      28       4        
P5       8        10     14      108  90      100      6        
P6       10       2      18      20   8       10       8        
P7       12       4      22      26   10      14       10       
P8       14       6      26      68   48      54       12       
P9       16       8      34      88   64      72       18       
P10      18       10     38      224  196     206      20       
P11      20       2      46      48   26      28       26       
P12      22       4      48      52   26      30       26       
P13      24       6      52      128  98      104      28       
P14      26       8      56      138  104     112      30       
P15      28       10     60      340  302     312      32       
P16      30       2      64      66   34      36       34       
P17      32       4      68      72   36      40       36       
P18      34       6      72      174  134     140      38       
P19      36       8      76      184  140     148      40       
P20      38       10     80      446  398     408      42       
P21      40       2      88      90   48      50       48       
P22      42       4      90      94   48      52       48       
P23      44       6      98      232  182     188      54       
P24      46       8      102     244  190     198      56       
P25      48       10     108     480  422     432      60       
P26      50       2      112     114  62      64       62       
P27      52       4      114     118  62      66       62       
P28      54       6      118     278  218     224      64       
P29      56       8      122     290  226     234      66       
P30      58       10     128     502  434     444      70       
P31      60       2      132     134  72      74       72       
P32      62       4      138     142  76      80       76       
P33      64       6      142     332  262     268      78       
P34      66       8      150     352  278     286      84       
P35      68       10     154     534  456     466      86       
P36      70       2      158     160  88      90       88       
P37      72       4      160     164  88      92       88       
P38      74       6      164     384  304     310      90       
P39      76       8      168     394  310     318      92       
P40      78       10     174     556  468     478      96       
