       ROUND ROBIN (q= 4)
Tiempo 0 - 2; P1
P41      80       2      178     180  98      100      98       
P42      82       4      184     188  102     106      102      
P43      84       6      188     436  346     352      104      
P44      86       8      196     454  360     368      110      
P45      88       10     200     578  480     490      112      
P46      90       2      204     206  114     116      114      
P47      92       4      206     210  114     118      114      
P48      94       6      210     460  360     366      116      
P49      96       8      214     464  360     368      118      
P50      98       10     218     580  472     482      120      
P51      100      2      224     226  124     126      124      
P52      102      4      226     230  124     128      124      
P53      104      6      232     470  360     366      128      
P54      106      8      236     474  360     368      130      
P55      108      10     244     582  464     474      136      
P56      110      2      248     250  138     140      138      
P57      112      4      250     254  138     142      138      
P58      114      6      258     482  362     368      144      
P59      116      8      262     486  362     370      146      
P60      118      10     266     584  456     466      148      
P61      120      2      270     272  150     152      150      
P62      122      4      272     276  150     154      150      
P63      124      6      278     492  362     368      154      
P64      126      8      282     496  362     370      156      
P65      128      10     290     586  448     458      162      
P66      130      2      294     296  164     166      164      
P67      132      4      296     300  164     168      164      
P68      134      6      304     504  364     370      170      
P69      136      8      308     508  364     372      172      
P70      138      10     312     588  440     450      174      
P71      140      2      316     318  176     178      176      
P72      142      4      318     322  176     180      176      
P73      144      6      322     514  364     370      178      
P74      146      8      326     518  364     372      180      
P75      148      10     332     590  432     442      184      
P76      150      2      336     338  186     188      186      
P77      152      4      340     344  188     192      188      
P78      154      6      344     524  364     370      190      
P79      156      8      352     528  364     372      196      
P80      158      10     356     592  424     434      198      
P81      160      2      364     366  204     206      204      
P82      162      4      366     370  204     208      204      
P83      164      6      370     536  366     372      206      
P84      166      8      374     540  366     374      208      
P85      168      10     378     594  416     426      210      
P86      170      2      384     386  214     216      214      
P87      172      4      386     390  214     218      214      
P88      174      6      394     546  366     372      220      
P89      176      8      398     550  366     374      222      
P90      178      10     402     596  408     418      224      
P91      180      2      410     412  230     232      230      
P92      182      4      412     416  230     234      230      
P93      184      6      416     558  368     374      232      
P94      186      8      420     562  368     376      234      
P95      188      10     424     598  400     410      236      
P96      190      2      428     430  238     240      238      
P97      192      4      430     434  238     242      238      
P98      194      6      436     568  368     374      242      
P99      196      8      440     572  368     376      244      
P100     198      10     446     600  392     402      248      

Promedios:
Tiempo de espera promedio: 240.64
Tiempo de retorno promedio: 246.64
Tiempo de respuesta promedio: 122.82
