       ROUND ROBIN (q= 6)
Tiempo 0 - 2; P1
Tiempo 2 - 6; P2
Tiempo 6 - 12; P3
Tiempo 12 - 18; P4
Tiempo 18 - 24; P5
Tiempo 24 - 26; P6
Tiempo 26 - 30; P7
Tiempo 30 - 36; P8
Tiempo 36 - 42; P9
Tiempo 42 - 48; P10
Tiempo 48 - 50; P4
Tiempo 50 - 52; P11
Tiempo 52 - 56; P12
Tiempo 56 - 62; P13
Tiempo 62 - 66; P5
Tiempo 66 - 72; P14
Tiempo 72 - 78; P15
Tiempo 78 - 80; P16
Tiempo 80 - 84; P17
Tiempo 84 - 90; P18
Tiempo 90 - 96; P19
Tiempo 96 - 102; P20
Tiempo 102 - 104; P21
Tiempo 104 - 108; P22
Tiempo 108 - 110; P9
Tiempo 110 - 116; P23
Tiempo 116 - 122; P24
Tiempo 122 - 128; P25
Tiempo 128 - 132; P10
Tiempo 132 - 134; P26
Tiempo 134 - 138; P27
Tiempo 138 - 144; P28
Tiempo 144 - 150; P29
Tiempo 150 - 156; P30
Tiempo 156 - 158; P31
Tiempo 158 - 162; P32
Tiempo 162 - 168; P33
Tiempo 168 - 174; P34
Tiempo 174 - 180; P35
Tiempo 180 - 182; P36
Tiempo 182 - 186; P37
Tiempo 186 - 188; P14
Tiempo 188 - 194; P38
Tiempo 194 - 200; P39
Tiempo 200 - 206; P40
Tiempo 206 - 210; P15
Tiempo 210 - 212; P41
Tiempo 212 - 216; P42
Tiempo 216 - 222; P43
Tiempo 222 - 228; P44
Tiempo 228 - 234; P45
Tiempo 234 - 236; P46
Tiempo 236 - 240; P47
Tiempo 240 - 246; P48
Tiempo 246 - 252; P49
Tiempo 252 - 254; P19
Tiempo 254 - 260; P50
Tiempo 260 - 262; P51
Tiempo 262 - 266; P52
Tiempo 266 - 270; P20
Tiempo 270 - 276; P53
Tiempo 276 - 282; P54
Tiempo 282 - 288; P55
Tiempo 288 - 290; P56
Tiempo 290 - 294; P57
Tiempo 294 - 300; P58
Tiempo 300 - 306; P59
Tiempo 306 - 312; P60
Tiempo 312 - 314; P61
Tiempo 314 - 318; P62
Tiempo 318 - 320; P24
Tiempo 320 - 326; P63
Tiempo 326 - 332; P64
Tiempo 332 - 338; P65
Tiempo 338 - 342; P25
Tiempo 342 - 344; P66
Tiempo 344 - 348; P67
Tiempo 348 - 354; P68
Tiempo 354 - 360; P69
Tiempo 360 - 366; P70
Tiempo 366 - 368; P71
Tiempo 368 - 372; P72
Tiempo 372 - 378; P73
Tiempo 378 - 384; P74
Tiempo 384 - 390; P75
Tiempo 390 - 392; P76
Tiempo 392 - 394; P29
Tiempo 394 - 398; P77
Tiempo 398 - 404; P78
Tiempo 404 - 410; P79
Tiempo 410 - 414; P30
Tiempo 414 - 420; P80
Tiempo 420 - 422; P81
Tiempo 422 - 426; P82
Tiempo 426 - 432; P83
Tiempo 432 - 438; P84
Tiempo 438 - 444; P85
Tiempo 444 - 446; P86
Tiempo 446 - 450; P87
Tiempo 450 - 456; P88
Tiempo 456 - 458; P34
Tiempo 458 - 464; P89
Tiempo 464 - 470; P90
Tiempo 470 - 472; P91
Tiempo 472 - 476; P35
Tiempo 476 - 480; P92
Tiempo 480 - 486; P93
Tiempo 486 - 492; P94
Tiempo 492 - 498; P95
Tiempo 498 - 500; P96
Tiempo 500 - 504; P97
Tiempo 504 - 510; P98
Tiempo 510 - 516; P99
Tiempo 516 - 522; P100
Tiempo 522 - 524; P39
Tiempo 524 - 528; P40
Tiempo 528 - 530; P44
Tiempo 530 - 534; P45
Tiempo 534 - 536; P49
Tiempo 536 - 540; P50
Tiempo 540 - 542; P54
Tiempo 542 - 546; P55
Tiempo 546 - 548; P59
Tiempo 548 - 552; P60
Tiempo 552 - 554; P64
Tiempo 554 - 558; P65
Tiempo 558 - 560; P69
Tiempo 560 - 564; P70
Tiempo 564 - 566; P74
Tiempo 566 - 570; P75
Tiempo 570 - 572; P79
Tiempo 572 - 576; P80
Tiempo 576 - 578; P84
Tiempo 578 - 582; P85
Tiempo 582 - 584; P89
Tiempo 584 - 588; P90
Tiempo 588 - 590; P94
Tiempo 590 - 594; P95
Tiempo 594 - 596; P99
Tiempo 596 - 600; P100
Mostramos resultados: 
Proceso   Llegada   Burst  Inicio   Fin   Espera   Retorno   Respuesta
P1       0        2      0       2    0       2        0        
P2       2        4      2       6    0       4        0        
P3       4        6      6       12   2       8        2        
P4       6        8      12      50   36      44       6        
P5       8        10     18      66   48      58       10       
P6       10       2      24      26   14      16       14       
P7       12       4      26      30   14      18       14       
P8       14       6      30      36   16      22       16       
P9       16       8      36      110  86      94       20       
P10      18       10     42      132  104     114      24       
P11      20       2      50      52   30      32       30       
P12      22       4      52      56   30      34       30       
P13      24       6      56      62   32      38       32       
P14      26       8      66      188  154     162      40       
P15      28       10     72      210  172     182      44       
P16      30       2      78      80   48      50       48       
P17      32       4      80      84   48      52       48       
P18      34       6      84      90   50      56       50       
P19      36       8      90      254  210     218      54       
P20      38       10     96      270  222     232      58       
P21      40       2      102     104  62      64       62       
P22      42       4      104     108  62      66       62       
P23      44       6      110     116  66      72       66       
P24      46       8      116     320  266     274      70       
P25      48       10     122     342  284     294      74       
P26      50       2      132     134  82      84       82       
P27      52       4      134     138  82      86       82       
P28      54       6      138     144  84      90       84       
P29      56       8      144     394  330     338      88       
P30      58       10     150     414  346     356      92       
P31      60       2      156     158  96      98       96       
P32      62       4      158     162  96      100      96       
P33      64       6      162     168  98      104      98       
P34      66       8      168     458  384     392      102      
P35      68       10     174     476  398     408      106      
P36      70       2      180     182  110     112      110      
P37      72       4      182     186  110     114      110      
P38      74       6      188     194  114     120      114      
P39      76       8      194     524  440     448      118      
P40      78       10     200     528  440     450      122      
P41      80       2      210     212  130     132      130      
P42      82       4      212     216  130     134      130      
P43      84       6      216     222  132     138      132      
P44      86       8      222     530  436     444      136      
P45      88       10     228     534  436     446      140      
P46      90       2      234     236  144     146      144      
P47      92       4      236     240  144     148      144      
P48      94       6      240     246  146     152      146      
P49      96       8      246     536  432     440      150      
P50      98       10     254     540  432     442      156      
P51      100      2      260     262  160     162      160      
P52      102      4      262     266  160     164      160      
P53      104      6      270     276  166     172      166      
P54      106      8      276     542  428     436      170      
P55      108      10     282     546  428     438      174      
P56      110      2      288     290  178     180      178      
P57      112      4      290     294  178     182      178      
P58      114      6      294     300  180     186      180      
P59      116      8      300     548  424     432      184      
P60      118      10     306     552  424     434      188      
P61      120      2      312     314  192     194      192      
P62      122      4      314     318  192     196      192      
P63      124      6      320     326  196     202      196      
P64      126      8      326     554  420     428      200      
P65      128      10     332     558  420     430      204      
P66      130      2      342     344  212     214      212      
P67      132      4      344     348  212     216      212      
P68      134      6      348     354  214     220      214      
P69      136      8      354     560  416     424      218      
P70      138      10     360     564  416     426      222      
P71      140      2      366     368  226     228      226      
P72      142      4      368     372  226     230      226      
P73      144      6      372     378  228     234      228      
P74      146      8      378     566  412     420      232      
P75      148      10     384     570  412     422      236      
P76      150      2      390     392  240     242      240      
P77      152      4      394     398  242     246      242      
P78      154      6      398     404  244     250      244      
P79      156      8      404     572  408     416      248      
P80      158      10     414     576  408     418      256      
P81      160      2      420     422  260     262      260      
P82      162      4      422     426  260     264      260      
P83      164      6      426     432  262     268      262      
P84      166      8      432     578  404     412      266      
P85      168      10     438     582  404     414      270      
P86      170      2      444     446  274     276      274      
P87      172      4      446     450  274     278      274      
P88      174      6      450     456  276     282      276      
P89      176      8      458     584  400     408      282      
P90      178      10     464     588  400     410      286      
P91      180      2      470     472  290     292      290      
P92      182      4      476     480  294     298      294      
P93      184      6      480     486  296     302      296      
P94      186      8      486     590  396     404      300      
P95      188      10     492     594  396     406      304      
P96      190      2      498     500  308     310      308      
P97      192      4      500     504  308     312      308      
P98      194      6      504     510  310     316      310      
P99      196      8      510     596  392     400      314      
P100     198      10     516     600  392     402      318      

Promedios:
Tiempo de espera promedio: 230.86
Tiempo de retorno promedio: 236.86
Tiempo de respuesta promedio: 157.12
